iter	Passed	Remaining
0	134	134822
1	135	67680
2	136	45292
3	137	34122
4	137	27373
5	138	22864
6	138	19642
7	138	17228
8	139	15349
9	139	13845
10	140	12622
11	141	11625
12	141	10771
13	142	10025
14	142	9380
15	143	8811
16	143	8309
17	144	7862
18	144	7464
19	144	7104
20	145	6780
21	145	6486
22	146	6223
23	147	5981
24	147	5757
25	148	5549
26	148	5354
27	149	5175
28	149	5008
29	150	4850
30	150	4705
31	150	4567
32	151	4438
33	152	4319
34	152	4209
35	153	4101
36	153	3997
37	154	3899
38	154	3808
39	155	3721
40	155	3637
41	155	3557
42	156	3481
43	156	3408
44	157	3340
45	158	3277
46	158	3213
47	159	3154
48	159	3097
49	160	3042
50	160	2989
51	161	2937
52	161	2888
53	162	2842
54	162	2798
55	163	2755
56	164	2713
57	164	2673
58	165	2634
59	165	2597
60	166	2561
61	166	2525
62	167	2491
63	168	2460
64	168	2427
65	169	2395
66	169	2363
67	170	2333
68	170	2303
69	171	2274
70	171	2246
71	172	2218
72	172	2191
73	173	2167
74	173	2142
75	174	2119
76	174	2096
77	175	2072
78	175	2049
79	176	2026
80	176	2003
81	177	1981
82	177	1957
83	177	1937
84	178	1917
85	178	1898
86	179	1880
87	179	1862
88	180	1844
89	180	1826
90	181	1808
91	181	1791
92	182	1777
93	182	1761
94	183	1745
95	183	1729
96	184	1714
97	184	1700
98	185	1686
99	185	1671
100	186	1657
101	186	1643
102	187	1629
103	187	1617
104	188	1604
105	188	1591
106	189	1578
107	189	1566
108	190	1553
109	190	1542
110	191	1531
111	191	1520
112	192	1509
113	192	1497
114	193	1486
115	193	1475
116	194	1464
117	194	1454
118	195	1445
119	195	1435
120	196	1425
121	196	1414
122	197	1405
123	197	1396
124	198	1386
125	198	1376
126	198	1367
127	199	1358
128	199	1349
129	200	1340
130	200	1332
131	201	1323
132	202	1319
133	203	1313
134	203	1305
135	204	1297
136	204	1289
137	205	1281
138	205	1275
139	206	1267
140	206	1260
141	207	1252
142	207	1244
143	208	1237
144	208	1230
145	209	1222
146	209	1216
147	210	1209
148	210	1202
149	211	1196
150	211	1190
151	212	1184
152	212	1177
153	213	1170
154	213	1164
155	214	1158
156	214	1152
157	214	1145
158	215	1139
159	215	1133
160	216	1126
161	216	1120
162	217	1115
163	217	1109
164	218	1103
165	218	1097
166	218	1092
167	219	1086
168	219	1080
169	220	1075
170	220	1070
171	221	1065
172	221	1060
173	222	1055
174	222	1050
175	223	1045
176	223	1041
177	224	1036
178	224	1031
179	225	1025
180	225	1021
181	226	1016
182	226	1011
183	227	1007
184	227	1002
185	228	998
186	228	994
187	229	989
188	229	985
189	230	980
190	230	976
191	231	972
192	231	968
193	232	964
194	232	960
195	233	956
196	233	952
197	234	949
198	234	945
199	235	940
200	235	936
201	236	932
202	236	928
203	237	924
204	237	920
205	237	917
206	238	913
207	238	909
208	239	906
209	239	902
210	240	899
211	241	895
212	241	892
213	241	888
214	242	884
215	242	881
216	243	877
217	243	874
218	244	871
219	244	867
220	245	864
221	245	861
222	246	857
223	246	854
224	247	851
225	247	847
226	248	844
227	248	841
228	248	838
229	249	834
230	249	832
231	250	829
232	250	826
233	251	822
234	251	819
235	252	816
236	252	813
237	253	810
238	253	807
239	254	804
240	254	801
241	254	798
242	255	795
243	255	793
244	256	790
245	256	787
246	257	784
247	257	782
248	258	779
249	258	776
250	259	774
251	259	771
252	260	768
253	260	766
254	261	763
255	261	761
256	262	758
257	262	756
258	263	753
259	263	750
260	264	748
261	264	745
262	265	743
263	265	740
264	266	738
265	266	736
266	267	733
267	267	731
268	268	728
269	268	726
270	269	723
271	269	721
272	269	718
273	270	716
274	270	714
275	271	711
276	271	709
277	272	707
278	273	705
279	273	703
280	274	701
281	274	699
282	275	696
283	275	695
284	276	692
285	276	690
286	277	688
287	277	686
288	278	683
289	278	681
290	278	679
291	279	677
292	279	675
293	280	673
294	280	670
295	281	668
296	281	666
297	282	664
298	282	662
299	283	660
300	283	659
301	284	657
302	284	655
303	285	653
304	285	651
305	286	648
306	286	646
307	287	644
308	287	642
309	287	640
310	288	639
311	289	637
312	289	635
313	289	633
314	290	631
315	290	629
316	291	627
317	291	625
318	292	623
319	292	621
320	293	620
321	293	618
322	294	616
323	294	615
324	295	613
325	295	611
326	296	609
327	296	607
328	297	605
329	297	603
330	297	602
331	298	600
332	298	598
333	299	597
334	300	595
335	300	593
336	300	592
337	301	590
338	301	588
